"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Luis Avilan",2882,"2015",139,0.1511,0.0432,0.0504,0.0576,0.2158,0.5396
"Pat Neshek",4682,"2015",139,0.223,0.0216,0.0504,0.1511,0.3381,0.3669
"Scott Atchison",2642,"2015",138,0.1739,0.0217,0.087,0.0652,0.2174,0.5
"Neal Cotts",1797,"2015",138,0.2391,0.0435,0.0435,0.1522,0.2029,0.471
"Drew Storen",6983,"2015",138,0.1739,0.0362,0.0362,0.1014,0.1957,0.558
"Burke Badenhop",9736,"2015",137,0.0949,0.0511,0.0876,-0.0438,0.292,0.4745
"Darren O'Day",3321,"2015",136,0.1103,0.0368,0.1618,-0.0882,0.1397,0.5515
"Brandon Cunniff",11509,"2015",135,0.1185,0.0519,0.0815,-0.0148,0.2222,0.5259
"Pedro Strop",4070,"2015",135,0.2074,0.0519,0.037,0.1185,0.1407,0.563
"Henderson Alvarez",5669,"2015",133,0.188,0.0451,0.0827,0.0602,0.203,0.4812
"Bryan Shaw",8110,"2015",133,0.218,0.0226,0.0451,0.1504,0.2556,0.4586
"R.J. Alvarez",13401,"2015",132,0.2045,0.0303,0.0985,0.0758,0.1894,0.4773
"Jason Frasor",1906,"2015",130,0.1154,0.0231,0.0615,0.0308,0.1846,0.6154
"Radhames Liz",5843,"2015",130,0.1923,0.0538,0.0385,0.1,0.1385,0.5769
"Franklin Morales",5088,"2015",129,0.1395,0.0465,0.031,0.062,0.2248,0.5581
"Alex Torres",7038,"2015",128,0.2031,0.0547,0.0859,0.0625,0.1797,0.4766
"Tom Gorzelanny",6244,"2015",127,0.1654,0.0709,0.0394,0.0551,0.2441,0.4803
"Wade Davis",7441,"2015",127,0.1496,0.0236,0.0315,0.0945,0.2992,0.4961
"Mike Morin",13442,"2015",126,0.2063,0.0238,0.0397,0.1429,0.2063,0.5238
"Vinnie Pestano",4782,"2015",126,0.1349,0.0079,0.0238,0.1032,0.254,0.5794
"Jonathan Papelbon",5975,"2015",126,0.1429,0.0873,0.0556,0,0.2619,0.4524
"Zac Rosscup",9419,"2015",125,0.176,0.008,0.096,0.072,0.208,0.512
"Eric O'Flaherty",5746,"2015",124,0.0887,0.0081,0.0403,0.0403,0.1694,0.6935
"Tommy Hunter",1157,"2015",123,0.2358,0.065,0.0488,0.122,0.2276,0.4228
"Glen Perkins",8041,"2015",123,0.2439,0.0325,0.0325,0.1789,0.2764,0.4146
"Sugar Marimon",6027,"2015",122,0.1803,0.0574,0.0492,0.0738,0.2787,0.4344
"Carlos Villanueva",4138,"2015",121,0.1157,0.0165,0.1322,-0.0331,0.1983,0.5372
"Sergio Romo",9817,"2015",121,0.157,0.0496,0.0744,0.0331,0.1653,0.5537
"Fernando Abad",4994,"2015",121,0.2149,0.0496,0.0496,0.1157,0.1901,0.4959
"Oliver Perez",1514,"2015",121,0.2149,0.0331,0.0744,0.1074,0.1983,0.4793
"Edwin Jackson",1841,"2015",120,0.1,0.0333,0.0083,0.0583,0.175,0.6833
"Shawn Kelley",7773,"2015",120,0.1333,0.0417,0.0667,0.025,0.2,0.5583
"David Robertson",8241,"2015",120,0.1167,0.0167,0.0833,0.0167,0.225,0.5583
"Justin Wilson",4301,"2015",120,0.225,0.0583,0.05,0.1167,0.1583,0.5083
"Rafael Martin",10258,"2015",120,0.1333,0.025,0.0667,0.0417,0.2417,0.5333
"Brad Ziegler",7293,"2015",120,0.0583,0.0083,0.1,-0.05,0.1333,0.7
"David Carpenter",3959,"2015",117,0.1453,0.0769,0.0513,0.0171,0.2393,0.4872
"J.R. Graham",12042,"2015",117,0.1538,0.0598,0.0598,0.0342,0.2564,0.4701
"Liam Hendriks",3548,"2015",117,0.2137,0.0513,0.0342,0.1282,0.2821,0.4188
"Brett Cecil",2660,"2015",116,0.1466,0.0517,0.0431,0.0517,0.2069,0.5517
"Scott Oberg",13911,"2015",116,0.1379,0.0259,0.0776,0.0345,0.2328,0.5259
"J.P. Howell",8245,"2015",115,0.1043,0.0348,0.0696,0,0.1913,0.6
"Will Smith",8048,"2015",113,0.0885,0.0177,0.0619,0.0088,0.1947,0.6372
"Brian Schlitter",3599,"2015",113,0.1062,0.0354,0.0531,0.0177,0.2389,0.5664
"Carlos Torres",7624,"2015",112,0.1607,0.0804,0.0982,-0.0179,0.2054,0.4554
"Yohan Pino",6955,"2015",111,0.2252,0.036,0.1261,0.0631,0.1982,0.4144
"Ian Krol",10066,"2015",111,0.1892,0.0631,0.0541,0.0721,0.1532,0.5405
"Drew Rucinski",12499,"2015",110,0.1727,0.0818,0.0364,0.0545,0.2182,0.4909
"LaTroy Hawkins",729,"2015",109,0.156,0.0734,0.0826,0,0.2294,0.4587
"Seth Maness",12235,"2015",109,0.1651,0.0183,0.0734,0.0734,0.2477,0.4954
"Phil Coke",5535,"2015",108,0.1667,0.0185,0.0741,0.0741,0.1944,0.5463
"Michael Lorenzen",14843,"2015",107,0.1121,0.0093,0.0935,0.0093,0.2243,0.5607
"Stolmy Pimentel",6415,"2015",106,0.1887,0.0377,0.0943,0.0566,0.1415,0.5377
"Buddy Carlyle",2010,"2015",106,0.1415,0.0472,0.1321,-0.0377,0.3679,0.3113
"Koji Uehara",9227,"2015",105,0.1143,0.019,0.0857,0.0095,0.1429,0.6381
"Zach Putnam",9080,"2015",105,0.1143,0.0095,0.0571,0.0476,0.1429,0.6762
"Carlos Frias",3547,"2015",103,0.1553,0.0485,0.0388,0.068,0.2233,0.534
"Francisco Rodriguez",1642,"2015",103,0.1262,0,0.0874,0.0388,0.2621,0.5243
"Frank Garces",13144,"2015",102,0.1275,0.0294,0.049,0.049,0.2549,0.5392
"Scott Baker",6176,"2015",102,0.1765,0.098,0.0392,0.0392,0.2647,0.4216
"Sean Gilmartin",12781,"2015",101,0.1683,0.0099,0.0693,0.0891,0.2277,0.5248
"Nick Vincent",7555,"2015",100,0.13,0.07,0.03,0.03,0.25,0.52
"Todd Redmond",9943,"2015",99,0.1111,0.0505,0.0909,-0.0303,0.2424,0.5051
"Paco Rodriguez",13398,"2015",98,0.1939,0.0102,0.051,0.1327,0.1429,0.602
"Erik Goeddel",11712,"2015",97,0.1649,0.0103,0.0515,0.1031,0.2268,0.5464
"Nicholas Tropeano",12385,"2015",97,0.1237,0.0206,0.134,-0.0309,0.2268,0.4948
"Antonio Bastardo",8844,"2015",94,0.1383,0.0213,0.0957,0.0213,0.2234,0.5213
"Mike Foltynewicz",10811,"2015",94,0.117,0.0638,0.0638,-0.0106,0.2979,0.4574
"Chris Bassitt",12304,"2015",93,0.1828,0.0323,0.086,0.0645,0.2151,0.4839
"Chase Whitley",10982,"2015",93,0.1613,0.0323,0.0323,0.0968,0.2366,0.5376
"Marc Rzepczynski",6612,"2015",92,0.0652,0.0326,0.0978,-0.0652,0.1196,0.6848
"Kyle Drabek",4359,"2015",90,0.1778,0.0111,0.0444,0.1222,0.1556,0.6111
"Phil Klein",12675,"2015",90,0.2111,0.0444,0.0333,0.1333,0.2111,0.5
"Kirby Yates",9073,"2015",90,0.1889,0.0444,0.0444,0.1,0.2222,0.5
"Matt Thornton",1918,"2015",90,0.1889,0.0333,0.0889,0.0667,0.2,0.4889
"Tom Layne",7501,"2015",89,0.236,0.0449,0.0674,0.1236,0.1461,0.5056
"Kevin Quackenbush",12360,"2015",89,0.0899,0.0787,0.0562,-0.0449,0.3034,0.4719
"Grant Balfour",718,"2015",89,0.0674,0.0562,0.0337,-0.0225,0.1685,0.6742
"Caleb Thielbar",10078,"2015",89,0.1685,0.0225,0.0674,0.0787,0.236,0.5056
"Tanner Scheppers",10267,"2015",89,0.1573,0.0899,0.0337,0.0337,0.2022,0.5169
"Matt Albers",4300,"2015",87,0.1954,0.0115,0.0575,0.1264,0.2299,0.5057
"Cesar Ramos",3357,"2015",86,0.186,0.0349,0.0349,0.1163,0.1279,0.6163
"John Axford",9059,"2015",86,0.1279,0.0349,0.0581,0.0349,0.2326,0.5465
"Charlie Furbush",1370,"2015",86,0.1395,0.0233,0.093,0.0233,0.186,0.5581
"Joel Peralta",2332,"2015",86,0.1512,0.0465,0.0814,0.0233,0.1744,0.5465
"Brad Peacock",5401,"2015",85,0.1765,0.0824,0.0706,0.0235,0.1882,0.4824
"Adam Liberatore",10637,"2015",84,0.2143,0.0238,0.0476,0.1429,0.2262,0.4881
"Jeremy Affeldt",583,"2015",83,0.1446,0.012,0.1084,0.0241,0.1687,0.5663
"Joba Chamberlain",2692,"2015",80,0.1375,0.05,0.025,0.0625,0.3125,0.475
"Mike Bolsinger",11137,"2015",80,0.1625,0.0875,0.0375,0.0375,0.2125,0.5
"Steven Wright",8185,"2015",78,0.141,0.0641,0.0385,0.0385,0.3462,0.4103
"Gonzalez Germen",5876,"2015",78,0.1154,0,0.0897,0.0256,0.1154,0.6795
"Ricky Nolasco",3830,"2015",78,0.1923,0.0385,0.0128,0.141,0.1667,0.5897
"Xavier Cedeno",36,"2015",78,0.1795,0.0513,0.0385,0.0897,0.0769,0.6538
"Casey Sadler",11209,"2015",77,0.2338,0.026,0.1039,0.1039,0.1429,0.4935
"Joe Thatcher",4620,"2015",77,0.2468,0.0649,0.039,0.1429,0.1948,0.4545
"Raisel Iglesias",17130,"2015",76,0.2105,0.0263,0.1184,0.0658,0.1184,0.5263
"Jose Dominguez",11571,"2015",72,0.125,0.1111,0.0833,-0.0694,0.25,0.4306
"Shaun Marcum",6204,"2015",69,0.1739,0,0.058,0.1159,0.1304,0.6377
"Rob Wooten",8532,"2015",68,0.1029,0.0441,0.1029,-0.0441,0.2353,0.5147
"David Huff",4257,"2015",68,0.2647,0.0147,0.0294,0.2206,0.2206,0.4706
"Jake Petricka",10534,"2015",66,0.2576,0.0606,0.0758,0.1212,0.2121,0.3939
"Carlos Rodon",16137,"2015",65,0.1692,0.0308,0.0154,0.1231,0.1846,0.6
"Javier Lopez",1663,"2015",64,0.2031,0.0313,0.0781,0.0938,0.1406,0.5469
"Manny Parra",4279,"2015",64,0.2031,0,0.0156,0.1875,0.2031,0.5781
"Jeff Beliveau",8504,"2015",63,0.127,0.0635,0.0635,0,0.2857,0.4603
"Ian Thomas",13881,"2015",63,0.1587,0.0794,0.0317,0.0476,0.2222,0.5079
"Cory Mazzoni",12537,"2015",63,0.127,0.0159,0.0635,0.0476,0.2222,0.5714
"Anthony Ranaudo",11424,"2015",62,0.1129,0.0806,0.0484,-0.0161,0.2097,0.5484
"Craig Stammen",7274,"2015",61,0.1148,0,0.0656,0.0492,0.1803,0.6393
"Jorge Rondon",5791,"2015",60,0.15,0.0167,0.1167,0.0167,0.1667,0.55
"Alex Colome",6661,"2015",60,0.1667,0.0333,0.05,0.0833,0.2333,0.5167
"Severino Gonzalez",14697,"2015",60,0.2,0.0167,0.0167,0.1667,0.25,0.5167
"Alex Wilson",9239,"2015",60,0.1667,0.0167,0.0667,0.0833,0.3,0.45
"Colt Hynes",7560,"2015",59,0.1864,0.0169,0.1017,0.0678,0.2034,0.4915
"Ryan Cook",8855,"2015",59,0.1695,0.0339,0.0847,0.0508,0.2881,0.4237
"Josh Fields",5070,"2015",59,0.1186,0.0339,0.0169,0.0678,0.3051,0.5254
"Christopher Rearick",11050,"2015",58,0.1379,0.0172,0.0862,0.0345,0.1034,0.6552
"Andrew Schugel",11432,"2015",58,0.1379,0.0172,0.0862,0.0345,0.1724,0.5862
"Austin Adams",7411,"2015",56,0.125,0,0.0893,0.0357,0.2857,0.5
"Jerry Blevins",7841,"2015",55,0.1636,0.0182,0.0909,0.0545,0.2364,0.4909
"A.J. Cole",11467,"2015",55,0.1091,0.0364,0.0545,0.0182,0.2182,0.5818
"Tom Wilhelmsen",9975,"2015",54,0.0926,0.0185,0.0926,-0.0185,0.1852,0.6111
"Everett Teaford",3732,"2015",54,0.1667,0.0556,0.0556,0.0556,0.1667,0.5556
"Andrew McKirahan",12870,"2015",53,0.2453,0.1132,0.0566,0.0755,0.2642,0.3208
"Mitchell Harris",4530,"2015",52,0.0962,0.0385,0.1346,-0.0769,0.2308,0.5
"Tim Cooney",13762,"2015",52,0.1154,0.0385,0.0385,0.0385,0.25,0.5577
"Scott Carroll",888,"2015",52,0.1731,0.0192,0.0769,0.0769,0.2308,0.5
"Brian Duensing",4064,"2015",51,0.1569,0,0.098,0.0588,0.2745,0.4706
"Heath Hembree",11632,"2015",49,0.1837,0,0.0816,0.102,0.1429,0.5918
"Neil Ramirez",7677,"2015",48,0.2083,0.0208,0.0208,0.1667,0.1875,0.5625
"Randy Choate",813,"2015",48,0.1667,0,0.0833,0.0833,0.1667,0.5833
"Cam Bedrosian",13360,"2015",46,0.2174,0.0435,0.0435,0.1304,0.1957,0.5
"Hector Neris",11804,"2015",46,0.1957,0,0.0652,0.1304,0.1522,0.587
"Kyle Crockett",15033,"2015",46,0.3043,0.0217,0.0652,0.2174,0.1957,0.413
"Matt Grace",11449,"2015",46,0.0652,0.0217,0.087,-0.0435,0.2609,0.5652
"Michael Kohn",8505,"2015",45,0.1111,0.0444,0,0.0667,0.2222,0.6222
"Jose Urena",11589,"2015",43,0.1163,0.0698,0.0698,-0.0233,0.3023,0.4419
"Hansel Robles",11801,"2015",42,0.1667,0.0238,0.0476,0.0952,0.2143,0.5476
"Matthew Tracy",12240,"2015",39,0.2308,0,0,0.2308,0.2051,0.5641
"Branden Pinder",12093,"2015",39,0.1538,0.0513,0.0513,0.0513,0.2564,0.4872
"Enrique Burgos",3895,"2015",39,0.1026,0.0513,0.0769,-0.0256,0.1282,0.641
"Kyle Davies",3642,"2015",38,0.0526,0.0263,0.1053,-0.0789,0.3158,0.5
"Greg Holland",7196,"2015",37,0.1351,0,0.1081,0.027,0.2432,0.5135
"Javy Guerra",7407,"2015",36,0.1944,0.0556,0.0278,0.1111,0.1389,0.5833
"Juan Jaime",6127,"2015",36,0.1389,0.0556,0,0.0833,0.1944,0.6111
"Andrew Albers",7853,"2015",35,0.1143,0,0.0571,0.0571,0.2286,0.6
"Lucas Luetge",8337,"2015",33,0.0909,0,0.0303,0.0606,0.2424,0.6364
"Sergio Santos",4734,"2015",32,0.2188,0.0313,0.0938,0.0938,0.1563,0.5
"Brandon Finnegan",16208,"2015",32,0.1563,0.0313,0.0938,0.0313,0.125,0.5938
"C.J. Riefenhauser",11193,"2015",31,0.129,0.129,0.0323,-0.0323,0.1613,0.5484
"Ryan Webb",7474,"2015",29,0.2759,0.0345,0.069,0.1724,0.2414,0.3793
"Nick Masset",7267,"2015",28,0.1786,0.1071,0.1429,-0.0714,0.1786,0.3929
"Adam Wilk",8421,"2015",28,0.25,0,0.1071,0.1429,0.0714,0.5714
"Matt Barnes",12863,"2015",27,0.2593,0.037,0,0.2222,0.1852,0.5185
"Carlos Contreras",10386,"2015",24,0.1667,0,0.0417,0.125,0.1667,0.625
"Sammy Solis",11457,"2015",22,0.2273,0.1364,0.0455,0.0455,0.3182,0.2727
"John Cornely",12364,"2015",22,0.1364,0.1818,0.0909,-0.1364,0.1364,0.4545
"Wesley Wright",5960,"2015",20,0.1,0.05,0.1,-0.05,0.15,0.6
"Arnold Leon",5595,"2015",19,0.1053,0,0.1053,0,0.2632,0.5263
"Alex Claudio",12890,"2015",19,0.2632,0,0.1579,0.1053,0.2632,0.3158
"Pedro Villarreal",9904,"2015",19,0.1579,0.1053,0.0526,0,0.1579,0.5263
"Donnie Veal",4741,"2015",18,0.1111,0,0.1111,0,0.2778,0.5
"Felipe Rivero",12076,"2015",17,0.2353,0.0588,0.1176,0.0588,0.1765,0.4118
"John Leathersich",12562,"2015",15,0.0667,0,0.0667,0,0.3333,0.5333
"Kevin Chapman",11240,"2015",14,0.2857,0.0714,0.0714,0.1429,0.2143,0.3571
"Carter Capps",12803,"2015",10,0.2,0.1,0,0.1,0.2,0.5
"Derek Holland",4141,"2015",9,0.4444,0.2222,0,0.2222,0.1111,0.2222
"Ike Davis",8433,"2015",9,0,0,0.2222,-0.2222,0.2222,0.5556
"Jon Edwards",1483,"2015",9,0,0,0,0,0.1111,0.8889
"Cesar Jimenez",3762,"2015",7,0.1429,0,0,0.1429,0.1429,0.7143
"Joe Nathan",1122,"2015",4,0,0,0,0,0,1
"Michael Tonkin",10315,"2015",1,0,0,0,0,0,1
"David Price",3184,"2014",3729,0.1947,0.0389,0.0587,0.0971,0.2671,0.4406
"Max Scherzer",3137,"2014",3635,0.159,0.0327,0.0671,0.0591,0.2597,0.4814
"Johnny Cueto",6893,"2014",3633,0.2015,0.0399,0.041,0.1206,0.2067,0.5109
"James Shields",7059,"2014",3630,0.1744,0.0336,0.0606,0.0802,0.2094,0.522
"R.A. Dickey",1245,"2014",3508,0.1816,0.0573,0.0507,0.0735,0.232,0.4783
"Corey Kluber",2429,"2014",3496,0.1796,0.0366,0.0712,0.0718,0.2208,0.4917
"Jon Lester",4930,"2014",3491,0.1799,0.0252,0.0636,0.0911,0.1939,0.5374
"A.J. Burnett",512,"2014",3469,0.175,0.0334,0.0539,0.0876,0.2096,0.5281
"Lance Lynn",2520,"2014",3449,0.1844,0.047,0.0458,0.0916,0.2175,0.5054
"Felix Hernandez",4772,"2014",3433,0.1398,0.0216,0.0737,0.0446,0.2065,0.5584
"Chris Tillman",5279,"2014",3410,0.1628,0.0513,0.0481,0.0633,0.254,0.4839
"Justin Verlander",8700,"2014",3409,0.1816,0.0378,0.0578,0.0859,0.2168,0.506
"Ian Kennedy",6986,"2014",3395,0.1564,0.0383,0.0624,0.0557,0.2433,0.4996
"Aaron Harang",1451,"2014",3387,0.1677,0.0313,0.0709,0.0655,0.2462,0.4839
"Madison Bumgarner",5524,"2014",3370,0.1947,0.0433,0.0513,0.1,0.2279,0.4828
"Jered Weaver",4235,"2014",3351,0.1647,0.0442,0.0597,0.0609,0.2346,0.4969
"Jose Quintana",11423,"2014",3338,0.1519,0.0294,0.0686,0.0539,0.225,0.5252
"Jeff Samardzija",3254,"2014",3336,0.1799,0.0321,0.0626,0.0851,0.2389,0.4865
"Zack Wheeler",10310,"2014",3306,0.1597,0.0315,0.0563,0.072,0.2278,0.5248
"John Danks",6329,"2014",3296,0.1766,0.0404,0.0613,0.0749,0.2227,0.4991
"Sonny Gray",12768,"2014",3292,0.1488,0.0319,0.072,0.045,0.2105,0.5368
"Stephen Strasburg",10131,"2014",3291,0.1817,0.0304,0.0684,0.083,0.2048,0.5147
"Julio Teheran",6797,"2014",3270,0.1673,0.0358,0.07,0.0615,0.2453,0.4817
"Adam Wainwright",2233,"2014",3258,0.1765,0.0344,0.0663,0.0758,0.2271,0.4957
"Jake Peavy",1051,"2014",3223,0.1818,0.0292,0.0537,0.099,0.2088,0.5265
"Mike Leake",10130,"2014",3214,0.1749,0.0221,0.0756,0.0772,0.2134,0.514
"Yovani Gallardo",8173,"2014",3214,0.14,0.0271,0.0678,0.0451,0.2225,0.5426
"Jeremy Guthrie",2072,"2014",3214,0.1795,0.0302,0.0632,0.0862,0.238,0.4891
"Zack Greinke",1943,"2014",3208,0.1571,0.0305,0.063,0.0636,0.2204,0.529
"Nathan Eovaldi",9132,"2014",3194,0.1954,0.031,0.0805,0.0839,0.2386,0.4546
"Wily Peralta",7738,"2014",3163,0.1622,0.0256,0.0686,0.068,0.1976,0.546
"Chris Archer",6345,"2014",3159,0.1709,0.0405,0.0582,0.0722,0.214,0.5163
"Cole Hamels",4972,"2014",3134,0.1707,0.0377,0.0568,0.0763,0.2288,0.5061
"Wade Miley",8779,"2014",3134,0.1624,0.0211,0.0705,0.0708,0.1777,0.5683
"Tyson Ross",7872,"2014",3119,0.1404,0.0269,0.0673,0.0462,0.1895,0.5758
"C.J. Wilson",3580,"2014",3106,0.1565,0.0219,0.0737,0.0608,0.1922,0.5557
"Kyle Kendrick",6230,"2014",3102,0.1596,0.0235,0.0658,0.0703,0.2279,0.5232
"Hiroki Kuroda",3283,"2014",3096,0.1483,0.0223,0.074,0.052,0.197,0.5585
"Dan Haren",1757,"2014",3092,0.1721,0.031,0.0634,0.0776,0.205,0.5285
"Mark Buehrle",225,"2014",3082,0.2122,0.0337,0.049,0.1295,0.2038,0.5013
"John Lackey",1507,"2014",3073,0.164,0.0384,0.0644,0.0612,0.2698,0.4634
"Jorge de la Rosa",2047,"2014",3061,0.1555,0.0297,0.0539,0.0719,0.2094,0.5515
"Ryan Vogelsong",1011,"2014",3056,0.1672,0.0317,0.0622,0.0733,0.2186,0.5203
"Rick Porcello",2717,"2014",3054,0.1873,0.0334,0.0616,0.0923,0.2279,0.4898
"Drew Hutchison",10732,"2014",3051,0.1629,0.0501,0.0518,0.061,0.2219,0.5133
"Travis Wood",9884,"2014",3045,0.1691,0.0315,0.07,0.0677,0.2414,0.488
"Brandon McCarthy",4662,"2014",3044,0.1928,0.0266,0.0706,0.0956,0.2162,0.4938
"Phil Hughes",7450,"2014",3044,0.2063,0.0591,0.0637,0.0834,0.2809,0.3899
"Jake Odorizzi",6397,"2014",3028,0.1466,0.0452,0.0476,0.0538,0.2322,0.5284
"Dallas Keuchel",9434,"2014",3018,0.1557,0.0219,0.0719,0.062,0.1928,0.5577
"Bartolo Colon",375,"2014",3009,0.1861,0.0382,0.0635,0.0844,0.2802,0.432
"Alfredo Simon",2155,"2014",3008,0.1815,0.0309,0.0682,0.0824,0.2227,0.4967
"Jason Vargas",8044,"2014",3002,0.1899,0.0157,0.0626,0.1116,0.1819,0.55
"Kyle Lohse",739,"2014",3000,0.16,0.0327,0.065,0.0623,0.2173,0.525
"Tanner Roark",8753,"2014",2993,0.1701,0.0411,0.0672,0.0618,0.2339,0.4878
"Scott Kazmir",4897,"2014",2980,0.1708,0.0295,0.0641,0.0772,0.243,0.4926
"Ervin Santana",3200,"2014",2978,0.1716,0.0269,0.0709,0.0739,0.1931,0.5376
"Wei-Yin Chen",13071,"2014",2976,0.1791,0.0343,0.0642,0.0806,0.2446,0.4778
"Yordano Ventura",11855,"2014",2975,0.1852,0.045,0.0608,0.0793,0.2235,0.4854
"Edinson Volquez",3990,"2014",2974,0.1597,0.0336,0.0666,0.0595,0.2192,0.5208
"Scott Feldman",6283,"2014",2955,0.1631,0.0284,0.0629,0.0717,0.223,0.5225
"Jarred Cosart",10304,"2014",2943,0.1522,0.0401,0.0574,0.0547,0.2311,0.5192
"Tom Koehler",6570,"2014",2941,0.1704,0.0442,0.0595,0.0666,0.2343,0.4917
"Jordan Zimmermann",4505,"2014",2917,0.1879,0.0507,0.0559,0.0812,0.2448,0.4607
"Eric Stults",8011,"2014",2833,0.1564,0.0258,0.0738,0.0568,0.1836,0.5605
"Shelby Miller",10197,"2014",2818,0.1725,0.0454,0.0589,0.0681,0.253,0.4702
"Colby Lewis",1259,"2014",2801,0.1664,0.0289,0.0693,0.0682,0.246,0.4895
"Kyle Gibson",10123,"2014",2799,0.1636,0.0229,0.0647,0.0761,0.1844,0.5645
"Jason Hammel",4538,"2014",2795,0.1639,0.0336,0.0623,0.068,0.2258,0.5145
"Jon Niese",4424,"2014",2790,0.1871,0.0344,0.0634,0.0892,0.2401,0.4749
"Tim Hudson",921,"2014",2784,0.1634,0.0244,0.0787,0.0603,0.2141,0.5194
"Hector Noesi",3292,"2014",2752,0.1788,0.0378,0.0603,0.0807,0.2231,0.5
"Chris Sale",10603,"2014",2751,0.1767,0.0294,0.0607,0.0865,0.2268,0.5064
"Bud Norris",9492,"2014",2745,0.1847,0.0408,0.0594,0.0845,0.2142,0.5009
"Clay Buchholz",3543,"2014",2737,0.1779,0.0398,0.053,0.0851,0.2185,0.5108
"Roberto Hernandez",3273,"2014",2733,0.1533,0.0157,0.079,0.0585,0.1837,0.5682
"Chris Young",3196,"2014",2716,0.1414,0.0641,0.0497,0.0276,0.2408,0.5041
"J.A. Happ",7410,"2014",2708,0.1769,0.0484,0.0628,0.0657,0.2397,0.4723
"Josh Collmenter",7312,"2014",2697,0.1754,0.0323,0.0601,0.0831,0.2202,0.5121
"Alex Wood",13781,"2014",2681,0.1775,0.0228,0.075,0.0798,0.2238,0.5009
"Francisco Liriano",3201,"2014",2680,0.1481,0.0209,0.0668,0.0604,0.1556,0.6086
"Tim Lincecum",5705,"2014",2663,0.1603,0.0402,0.062,0.0582,0.2084,0.5291
"Ricky Nolasco",3830,"2014",2640,0.1716,0.0417,0.0602,0.0697,0.2087,0.5178
"Garrett Richards",9784,"2014",2625,0.141,0.0343,0.0663,0.0404,0.219,0.5394
"Gio Gonzalez",7448,"2014",2621,0.1702,0.0324,0.0641,0.0736,0.2087,0.5246
"Clayton Kershaw",2036,"2014",2620,0.2031,0.0347,0.0588,0.1095,0.2302,0.4733
"Roenis Elias",12673,"2014",2615,0.1595,0.0287,0.0547,0.0761,0.1943,0.5629
"Alex Cobb",6562,"2014",2610,0.1854,0.0215,0.067,0.0969,0.1544,0.5716
"Henderson Alvarez",5669,"2014",2610,0.1877,0.0303,0.0759,0.0816,0.2506,0.4556
"Drew Smyly",11760,"2014",2592,0.1636,0.0374,0.0594,0.0667,0.228,0.5116
"Trevor Bauer",12703,"2014",2589,0.1784,0.0436,0.0452,0.0896,0.19,0.5427
"Vidal Nuno",9674,"2014",2583,0.1769,0.0263,0.072,0.0786,0.2284,0.4963
"Miguel Gonzalez",7024,"2014",2552,0.174,0.0388,0.0521,0.0831,0.2257,0.5094
"Matt Garza",3340,"2014",2538,0.1785,0.0323,0.0634,0.0827,0.1994,0.5264
"Hisashi Iwakuma",13048,"2014",2532,0.1568,0.0209,0.0806,0.0553,0.2137,0.528
"Kevin Correia",1767,"2014",2521,0.1706,0.0341,0.0599,0.0766,0.2297,0.5058
"Charlie Morton",4676,"2014",2500,0.2016,0.0164,0.0588,0.1264,0.1816,0.5416
"Edwin Jackson",1841,"2014",2490,0.1281,0.0434,0.0719,0.0129,0.2253,0.5313
"Marco Estrada",1118,"2014",2488,0.1322,0.0418,0.0715,0.0189,0.2239,0.5305
"Collin McHugh",7531,"2014",2485,0.1706,0.037,0.0608,0.0728,0.241,0.4905
"Doug Fister",9425,"2014",2467,0.2217,0.0361,0.045,0.1407,0.2396,0.4576
"Mike Minor",10021,"2014",2424,0.1671,0.0367,0.0611,0.0693,0.2372,0.4979
"Danny Duffy",3542,"2014",2420,0.1719,0.0521,0.0583,0.0616,0.2479,0.4698
"Franklin Morales",5088,"2014",2418,0.1894,0.0471,0.0562,0.086,0.2353,0.4719
"Jake Arrieta",4153,"2014",2414,0.1462,0.0302,0.0816,0.0344,0.2113,0.5307
"Nick Martinez",12730,"2014",2405,0.1713,0.0337,0.0657,0.0719,0.2091,0.5202
"Jesse Chavez",5448,"2014",2399,0.1838,0.0283,0.0746,0.0809,0.2434,0.4698
"Brad Peacock",5401,"2014",2356,0.1362,0.0297,0.07,0.0365,0.2284,0.5357
"Hyun-Jin Ryu",14444,"2014",2354,0.2052,0.0442,0.0573,0.1037,0.2184,0.4749
"Yu Darvish",13074,"2014",2309,0.1559,0.0329,0.0702,0.0528,0.2183,0.5227
"Ubaldo Jimenez",3374,"2014",2306,0.17,0.0312,0.0676,0.0711,0.209,0.5221
"Homer Bailey",8362,"2014",2275,0.1512,0.0251,0.069,0.0571,0.211,0.5437
"Hector Santiago",4026,"2014",2272,0.1805,0.0379,0.0616,0.081,0.2465,0.4736
"Brett Oberholtzer",3855,"2014",2250,0.1764,0.0276,0.0742,0.0747,0.2307,0.4911
"Justin Masterson",2038,"2014",2249,0.1832,0.0213,0.0796,0.0823,0.1903,0.5256
"Jacob deGrom",10954,"2014",2233,0.1594,0.0278,0.0712,0.0605,0.2172,0.5244
"Gerrit Cole",13125,"2014",2197,0.1784,0.0269,0.0701,0.0815,0.2271,0.4975
"Dillon Gee",7396,"2014",2116,0.1555,0.0435,0.0567,0.0553,0.2547,0.4896
