"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Christian Bergman",10925,"2015",219,0.1918,0.0137,0.0731,0.105,0.2603,0.4612
"Erasmo Ramirez",10314,"2015",218,0.1835,0.0092,0.0734,0.1009,0.1835,0.5505
"Jake Diekman",5003,"2015",215,0.1767,0.0326,0.0605,0.0837,0.1814,0.5488
"Samuel Deduno",5285,"2015",214,0.1542,0.0514,0.0561,0.0467,0.2523,0.486
"Roberto Osuna",13764,"2015",213,0.169,0.0376,0.0704,0.061,0.2254,0.4977
"Brad Hand",9111,"2015",210,0.1905,0.0333,0.0762,0.081,0.1762,0.5238
"Hector Noesi",3292,"2015",209,0.1818,0.0431,0.0478,0.0909,0.1722,0.555
"Roenis Elias",12673,"2015",208,0.1298,0.0481,0.0481,0.0337,0.2163,0.5577
"Keone Kela",14696,"2015",208,0.1875,0.0288,0.0529,0.1058,0.1875,0.5433
"Cody Martin",12182,"2015",208,0.2115,0.0144,0.0577,0.1394,0.2548,0.4615
"Danny Farquhar",8501,"2015",202,0.1139,0.0495,0.0297,0.0347,0.2327,0.5743
"Aaron Thompson",999,"2015",201,0.1493,0,0.0796,0.0697,0.204,0.5672
"Neftali Feliz",18,"2015",201,0.1741,0.0448,0.0746,0.0547,0.2488,0.4577
"Craig Breslow",4363,"2015",201,0.1642,0.0199,0.0697,0.0746,0.2139,0.5323
"Chris Martin",11847,"2015",200,0.2,0.02,0.055,0.125,0.235,0.49
"Brad Brach",6627,"2015",199,0.206,0.0201,0.0352,0.1508,0.1709,0.5678
"Anthony Varvaro",2385,"2015",199,0.1809,0.0553,0.0553,0.0704,0.1608,0.5477
"Sam Dyson",11710,"2015",197,0.203,0.0102,0.1117,0.0812,0.1929,0.4822
"Brad Boxberger",10133,"2015",196,0.1888,0.051,0.0816,0.0561,0.1582,0.5204
"Ken Giles",12910,"2015",194,0.1649,0.0464,0.0567,0.0619,0.232,0.5
"Luis Garcia",6984,"2015",193,0.1347,0.0155,0.0518,0.0674,0.1865,0.6114
"Yoervis Medina",10498,"2015",193,0.1865,0.0259,0.0674,0.0933,0.2124,0.5078
"Blake Treinen",12572,"2015",193,0.1451,0.0259,0.1192,0,0.1658,0.544
"Rafael Montero",12760,"2015",192,0.1979,0.0156,0.0469,0.1354,0.1771,0.5625
"Andrew Chafin",12988,"2015",192,0.1146,0.0208,0.0469,0.0469,0.2708,0.5469
"Jason Garcia",12143,"2015",191,0.1623,0.0262,0.0366,0.0995,0.2723,0.5026
"Tyler Thornburg",10688,"2015",191,0.2094,0.0576,0.0262,0.1257,0.2461,0.4607
"Jim Johnson",3656,"2015",191,0.178,0.0314,0.0785,0.0681,0.2042,0.5079
"Kevin Gausman",14107,"2015",191,0.1361,0.0105,0.0471,0.0785,0.1623,0.644
"Tanner Roark",8753,"2015",190,0.2105,0.0316,0.0579,0.1211,0.2105,0.4895
"Wandy Rodriguez",2586,"2015",190,0.1579,0.0474,0.0579,0.0526,0.1842,0.5526
"Cody Allen",12183,"2015",189,0.1481,0.0635,0.0794,0.0053,0.2063,0.5026
"Evan Scribner",7525,"2015",187,0.1925,0.0214,0.0963,0.0749,0.246,0.4439
"Christian Friedrich",7942,"2015",186,0.1344,0.0323,0.0645,0.0376,0.2312,0.5376
"Fernando Salas",4971,"2015",186,0.1828,0.0484,0.0699,0.0645,0.2366,0.4624
"Daniel Hudson",7146,"2015",186,0.1774,0.0108,0.0484,0.1183,0.2151,0.5484
"Joaquin Benoit",1437,"2015",186,0.1344,0.0323,0.0538,0.0484,0.2097,0.5699
"Andrew Miller",6785,"2015",184,0.1848,0.0272,0.0707,0.087,0.212,0.5054
"Dale Thayer",5032,"2015",184,0.1413,0.0707,0.038,0.0326,0.2554,0.4946
"Ryan Madson",1852,"2015",184,0.1304,0.0435,0.0652,0.0217,0.2717,0.4891
"Tim Stauffer",6432,"2015",183,0.1913,0.0437,0.0492,0.0984,0.1803,0.5355
